priority_tier,county,source_result_key,source_norm,pair_count,example_target_polygon_key,candidate_1,score_1,candidate_2,score_2,candidate_3,score_3,score_gap_1_2
manual_medium,Florence,Florence - Florence No. 6,FLORENCE - FLORENCE NO. 6,1,Florence - Florence Ward 6,Florence - Florence Ward 6,0.8627,Florence - Florence Ward 1,0.8235,Florence - Florence Ward 2,0.8235,0.0392
manual_medium,Florence,Florence - Florence No. 7,FLORENCE - FLORENCE NO. 7,1,Florence - Florence Ward 7,Florence - Florence Ward 7,0.8627,Florence - Florence Ward 1,0.8235,Florence - Florence Ward 2,0.8235,0.0392
manual_medium,Florence,Florence - Florence No. 8,FLORENCE - FLORENCE NO. 8,1,Florence - Florence Ward 8,Florence - Florence Ward 8,0.8627,Florence - Florence Ward 1,0.8235,Florence - Florence Ward 2,0.8235,0.0392
manual_medium,Florence,Florence - Florence No. 9,FLORENCE - FLORENCE NO. 9,1,Florence - Florence Ward 9,Florence - Florence Ward 9,0.8627,Florence - Florence Ward 1,0.8235,Florence - Florence Ward 2,0.8235,0.0392
manual_medium,Georgetown,Georgetown - Pawleys Isl 1,GEORGETOWN - PAWLEYS ISL 1,1,Georgetown - Pawleys Island No. 1,Georgetown - Pawley'S Island No. 1,0.8814,Georgetown - Pawley'S Island No. 2,0.8475,Georgetown - Pawley'S Island No. 3,0.8475,0.0339
manual_medium,Georgetown,Georgetown - Pawleys Isl 2,GEORGETOWN - PAWLEYS ISL 2,1,Georgetown - Pawleys Island No. 2,Georgetown - Pawley'S Island No. 2,0.8814,Georgetown - Pawley'S Island No. 1,0.8475,Georgetown - Pawley'S Island No. 3,0.8475,0.0339
manual_medium,Georgetown,Georgetown - Pawleys Isl 3,GEORGETOWN - PAWLEYS ISL 3,1,Georgetown - Pawleys Island No. 3,Georgetown - Pawley'S Island No. 3,0.8814,Georgetown - Pawley'S Island No. 1,0.8475,Georgetown - Pawley'S Island No. 2,0.8475,0.0339
manual_medium,Georgetown,Georgetown - Pawleys Isl 4,GEORGETOWN - PAWLEYS ISL 4,1,Georgetown - Pawleys Island No. 4,Georgetown - Pawley'S Island No. 4,0.8814,Georgetown - Pawley'S Island No. 1,0.8475,Georgetown - Pawley'S Island No. 2,0.8475,0.0339
manual_medium,Georgetown,Georgetown - Pawleys Isl 5,GEORGETOWN - PAWLEYS ISL 5,1,Georgetown - Pawleys Island No. 5,Georgetown - Pawley'S Island No. 5,0.8814,Georgetown - Pawley'S Island No. 1,0.8475,Georgetown - Pawley'S Island No. 2,0.8475,0.0339
manual_medium,Greenwood,Greenwood - Ninety Six Depot,GREENWOOD - NINETY SIX DEPOT,1,Greenwood - Ninety Six,Greenwood - Ninety Six,0.8800,Greenwood - Ninety Six Mill,0.8364,,,0.0436
manual_medium,Greenwood,Greenwood - Rutherford,GREENWOOD - RUTHERFORD,1,Greenwood - Rutherford Shoals,Greenwood - Rutherford Shoals,0.8627,Greenwood - Stonewood,0.7442,Greenwood - Troy,0.7368,0.1185
