scope,precinct_norm,district,weight
congressional,ANDERSON - BRUSHY CREEK,3,1.000000000000
congressional,PICKENS - BRUSHY CREEK,3,1.000000000000
congressional,KERSHAW - BUFFALO,5,0.999999998731
congressional,KERSHAW - BUFFALO,7,0.000000001269
congressional,UNION - BUFFALO BOX 1,5,1.000000000000
congressional,YORK - BULLOCKS CREEK,5,1.000000000000
congressional,HORRY - BURGESS 1,7,1.000000000000
congressional,HORRY - BURGESS 3,7,1.000000000000
congressional,HORRY - BURGESS 4,7,1.000000000000
congressional,HORRY - BURGESS 5,7,1.000000000000
congressional,HORRY - BURGESS2,7,1.000000000000
congressional,SUMTER - BURNS-DOWNS,5,0.996916019213
congressional,SUMTER - BURNS-DOWNS,6,0.003083980787
congressional,DARLINGTON - BURNT BRANCH,5,0.000000375792
congressional,DARLINGTON - BURNT BRANCH,7,0.999999624208
congressional,LEXINGTON - BUSH RIVER,2,1.000000000000
congressional,NEWBERRY - BUSH RIVER,3,1.000000000000
congressional,BERKELEY - BUSHY PARK,1,1.000000000000
congressional,DORCHESTER - BUTTERNUT,1,1.000000000000
congressional,SPARTANBURG - C.C. WOODSON RECREATION,4,1.000000000000
congressional,WILLIAMSBURG - CADES,6,1.000000000000
congressional,BERKELEY - CAINHOY,1,1.000000000000
congressional,PICKENS - CALHOUN,3,1.000000000000
congressional,ABBEVILLE - CALHOUN FALLS,3,1.000000000000
congressional,GREENWOOD - CALLISON,3,1.000000000000
congressional,KERSHAW - CAMDEN NO. 1,5,1.000000000000
congressional,KERSHAW - CAMDEN NO. 2,5,1.000000000000
congressional,KERSHAW - CAMDEN NO. 5,5,1.000000000000
congressional,KERSHAW - CAMDEN NO. 5-A,5,1.000000000000
congressional,KERSHAW - CAMDEN NO. 6,5,1.000000000000
congressional,CALHOUN - CAMERON,6,1.000000000000
congressional,SPARTANBURG - CANAAN,4,1.000000000000
congressional,COLLETON - CANADYS,6,1.000000000000
congressional,BERKELEY - CANE BAY,1,1.000000000000
congressional,BERKELEY - CANE BAY EAST,1,1.000000000000
congressional,BERKELEY - CANE BAY NORTH,1,1.000000000000
congressional,BERKELEY - CANE BAY SOUTH,1,1.000000000000
congressional,GREENVILLE - CANEBRAKE,4,1.000000000000
congressional,YORK - CANNON MILL,5,1.000000000000
congressional,SPARTANBURG - CANNONS ELEMENTARY,5,1.000000000000
congressional,UNION - CARLISLE,5,1.000000000000
congressional,SPARTANBURG - CARLISLE FOSTERS GROVE,5,1.000000000000
congressional,SPARTANBURG - CARLISLE WESLEYAN,5,1.000000000000
congressional,BERKELEY - CARNES CROSS ROAD 1,1,1.000000000000
congressional,BERKELEY - CARNES CROSS ROADS 2,1,1.000000000000
congressional,DILLON - CAROLINA,7,1.000000000000
congressional,DORCHESTER - CAROLINA,1,0.999999978315
congressional,DORCHESTER - CAROLINA,6,0.000000021685
congressional,GREENVILLE - CAROLINA,3,0.001062935716
congressional,GREENVILLE - CAROLINA,4,0.998937064284
congressional,YORK - CAROLINA,5,1.000000000000
congressional,HORRY - CAROLINA BAYS,7,1.000000000000
congressional,HORRY - CAROLINA FOREST 1,7,1.000000000000
congressional,HORRY - CAROLINA FOREST 2,7,1.000000000000
congressional,LEXINGTON - CAROLINA SPRINGS,2,1.000000000000
congressional,FLORENCE - CARTERSVILLE,7,1.000000000000
congressional,GEORGETOWN - CARVERS BAY,7,1.000000000000
congressional,CHESTERFIELD - CASH,7,1.000000000000
congressional,KERSHAW - CASSATT,5,1.000000000000
congressional,GREENVILLE - CASTLE ROCK,4,1.000000000000
congressional,YORK - CATAWBA,5,1.000000000000
congressional,RICHLAND - CAUGHMAN ROAD,6,1.000000000000
congressional,SUMTER - CAUSEWAY BRANCH 1,5,1.000000000000
congressional,SUMTER - CAUSEWAY BRANCH 2,5,1.000000000000
congressional,SPARTANBURG - CAVINS HOBBYSVILLE,4,1.000000000000
congressional,LEXINGTON - CAYCE 2A,2,1.000000000000
congressional,LEXINGTON - CAYCE WARD NO. 1,2,0.999980528883
congressional,LEXINGTON - CAYCE WARD NO. 1,6,0.000019471117
congressional,LEXINGTON - CAYCE WARD NO. 2,2,0.999314341825
