source_result_key,source_norm,candidate_1,score_1,candidate_2,score_2,candidate_3,score_3,recommendation
Darlington - Hartsville No 1,DARLINGTON - HARTSVILLE NO 1,Darlington - Hartsville No. 1,0.9825,Darlington - Hartsville No. 4,0.9474,Darlington - Hartsville No. 5,0.9474,likely_safe
Darlington - Hartsville No 4,DARLINGTON - HARTSVILLE NO 4,Darlington - Hartsville No. 4,0.9825,Darlington - Hartsville No. 1,0.9474,Darlington - Hartsville No. 5,0.9474,likely_safe
Darlington - Hartsville No 5,DARLINGTON - HARTSVILLE NO 5,Darlington - Hartsville No. 5,0.9825,Darlington - Hartsville No. 1,0.9474,Darlington - Hartsville No. 4,0.9474,likely_safe
Darlington - Hartsville No 6,DARLINGTON - HARTSVILLE NO 6,Darlington - Hartsville No. 6,0.9825,Darlington - Hartsville No. 1,0.9474,Darlington - Hartsville No. 4,0.9474,likely_safe
Darlington - Hartsville No 7,DARLINGTON - HARTSVILLE NO 7,Darlington - Hartsville No. 7,0.9825,Darlington - Hartsville No. 1,0.9474,Darlington - Hartsville No. 4,0.9474,likely_safe
Darlington - Hartsville No 8,DARLINGTON - HARTSVILLE NO 8,Darlington - Hartsville No. 8,0.9825,Darlington - Hartsville No. 1,0.9474,Darlington - Hartsville No. 4,0.9474,likely_safe
Darlington - Hartsville No 9,DARLINGTON - HARTSVILLE NO 9,Darlington - Hartsville No. 9,0.9825,Darlington - Hartsville No. 1,0.9474,Darlington - Hartsville No. 4,0.9474,likely_safe
Dillon - Gaddys Mill,DILLON - GADDYS MILL,,,,,,,no_confident_match
Dorchester - 4 Hole,DORCHESTER - 4 HOLE,Dorchester - Four Hole,0.8780,Dorchester - Trolley,0.8205,Dorchester - Archdale,0.8000,review
Dorchester - Miles-Jamison,DORCHESTER - MILES-JAMISON,Dorchester - Miles/Jamison,0.9804,Dorchester - Clemson,0.8261,Dorchester - Clemson 2,0.7917,likely_safe
Dorchester - St. George No 1,DORCHESTER - ST. GEORGE NO 1,Dorchester - St. George No. 1,0.9825,Dorchester - St. George No. 2,0.9474,,,likely_safe
Dorchester - St. George No 2,DORCHESTER - ST. GEORGE NO 2,Dorchester - St. George No. 2,0.9825,Dorchester - St. George No. 1,0.9474,Dorchester - King'S Grant 2,0.7407,likely_safe
Edgefield - Kendall,EDGEFIELD - KENDALL,,,,,,,no_confident_match
Edgefield - Trenton,EDGEFIELD - TRENTON,Edgefield - Trenton No.1,0.8837,Edgefield - Trenton No.2,0.8837,Edgefield - Brunson,0.8421,review
Fairfield - Gladde3N Grove,FAIRFIELD - GLADDE3N GROVE,Fairfield - Gladden Grove,0.9804,,,,,likely_safe
Florence - Coles Cr Roads,FLORENCE - COLES CR ROADS,Florence - Coles Crossroads,0.9231,,,,,likely_safe
Florence - Coward No. 1,FLORENCE - COWARD NO. 1,Florence - Cowards No. 1,0.9787,Florence - Cowards No. 2,0.9362,Florence - Pamplico No. 1,0.7917,likely_safe
Florence - Coward No. 2,FLORENCE - COWARD NO. 2,Florence - Cowards No. 2,0.9787,Florence - Cowards No. 1,0.9362,Florence - Pamplico No. 2,0.7917,likely_safe
Florence - Emergency,FLORENCE - EMERGENCY,Florence - Evergreen,0.8500,Florence - Elim-Glenwood,0.7273,Florence - Salem,0.7222,review
Florence - Emergency 1,FLORENCE - EMERGENCY 1,Florence - Evergreen,0.8095,Florence - Delmae No. 1,0.7556,Florence - West Florence 1,0.7500,review
Florence - Florence 1,FLORENCE - FLORENCE 1,Florence - Florence Ward 1,0.8936,Florence - West Florence 1,0.8936,Florence - Florence Ward 10,0.8750,review
Florence - Florence 10,FLORENCE - FLORENCE 10,Florence - Florence Ward 10,0.8980,Florence - Florence Ward 1,0.8750,Florence - West Florence 1,0.8750,review
Florence - Florence 11,FLORENCE - FLORENCE 11,Florence - Florence Ward 11,0.8980,Florence - Florence Ward 1,0.8750,Florence - West Florence 1,0.8750,review
Florence - Florence 12,FLORENCE - FLORENCE 12,Florence - Florence Ward 12,0.8980,Florence - Florence Ward 1,0.8750,Florence - Florence Ward 2,0.8750,review
Florence - Florence 2,FLORENCE - FLORENCE 2,Florence - Florence Ward 2,0.8936,Florence - West Florence 2,0.8936,Florence - Florence Ward 12,0.8750,review
Florence - Florence 3,FLORENCE - FLORENCE 3,Florence - Florence Ward 3,0.8936,Florence - Florence Ward 1,0.8511,Florence - Florence Ward 2,0.8511,review
Florence - Florence 4,FLORENCE - FLORENCE 4,Florence - Florence Ward 4,0.8936,Florence - Florence Ward 14,0.8750,Florence - Florence Ward 1,0.8511,review
Florence - Florence 5,FLORENCE - FLORENCE 5,Florence - Florence Ward 5,0.8936,Florence - Florence Ward 15,0.8750,Florence - Florence Ward 1,0.8511,review
Florence - Florence 6,FLORENCE - FLORENCE 6,Florence - Florence Ward 6,0.8936,Florence - Florence Ward 1,0.8511,Florence - Florence Ward 2,0.8511,review
Florence - Florence 7,FLORENCE - FLORENCE 7,Florence - Florence Ward 7,0.8936,Florence - Florence Ward 1,0.8511,Florence - Florence Ward 2,0.8511,review
Florence - Florence 8,FLORENCE - FLORENCE 8,Florence - Florence Ward 8,0.8936,Florence - Florence Ward 1,0.8511,Florence - Florence Ward 2,0.8511,review
Florence - Florence 9,FLORENCE - FLORENCE 9,Florence - Florence Ward 9,0.8936,Florence - Florence Ward 1,0.8511,Florence - Florence Ward 2,0.8511,review
Florence - Florence No. 1,FLORENCE - FLORENCE NO. 1,Florence - Florence Ward 1,0.8627,Florence - Florence Ward 10,0.8462,Florence - Florence Ward 11,0.8462,review
Florence - Florence No. 10,FLORENCE - FLORENCE NO. 10,Florence - Florence Ward 10,0.8679,Florence - Florence Ward 1,0.8462,Florence - Florence Ward 11,0.8302,review
Florence - Florence No. 11,FLORENCE - FLORENCE NO. 11,Florence - Florence Ward 11,0.8679,Florence - Florence Ward 1,0.8462,Florence - Florence Ward 10,0.8302,review
Florence - Florence No. 12,FLORENCE - FLORENCE NO. 12,Florence - Florence Ward 12,0.8679,Florence - Florence Ward 1,0.8462,Florence - Florence Ward 2,0.8462,review
Florence - Florence No. 14,FLORENCE - FLORENCE NO. 14,Florence - Florence Ward 14,0.8679,Florence - Florence Ward 1,0.8462,Florence - Florence Ward 4,0.8462,review
Florence - Florence No. 15,FLORENCE - FLORENCE NO. 15,Florence - Florence Ward 15,0.8679,Florence - Florence Ward 1,0.8462,Florence - Florence Ward 5,0.8462,review
Florence - Florence No. 2,FLORENCE - FLORENCE NO. 2,Florence - Florence Ward 2,0.8627,Florence - Florence Ward 12,0.8462,Florence - Florence Ward 1,0.8235,review
Florence - Florence No. 3,FLORENCE - FLORENCE NO. 3,Florence - Florence Ward 3,0.8627,Florence - Florence Ward 1,0.8235,Florence - Florence Ward 2,0.8235,review
Florence - Florence No. 4,FLORENCE - FLORENCE NO. 4,Florence - Florence Ward 4,0.8627,Florence - Florence Ward 14,0.8462,Florence - Florence Ward 1,0.8235,review
Florence - Florence No. 5,FLORENCE - FLORENCE NO. 5,Florence - Florence Ward 5,0.8627,Florence - Florence Ward 15,0.8462,Florence - Florence Ward 1,0.8235,review
Florence - Florence No. 6,FLORENCE - FLORENCE NO. 6,Florence - Florence Ward 6,0.8627,Florence - Florence Ward 1,0.8235,Florence - Florence Ward 2,0.8235,review
Florence - Florence No. 7,FLORENCE - FLORENCE NO. 7,Florence - Florence Ward 7,0.8627,Florence - Florence Ward 1,0.8235,Florence - Florence Ward 2,0.8235,review
Florence - Florence No. 8,FLORENCE - FLORENCE NO. 8,Florence - Florence Ward 8,0.8627,Florence - Florence Ward 1,0.8235,Florence - Florence Ward 2,0.8235,review
Florence - Florence No. 9,FLORENCE - FLORENCE NO. 9,Florence - Florence Ward 9,0.8627,Florence - Florence Ward 1,0.8235,Florence - Florence Ward 2,0.8235,review
Florence - South Florence No. 1,FLORENCE - SOUTH FLORENCE NO. 1,Florence - South Florence 1,0.9310,Florence - South Florence 2,0.8966,Florence - West Florence 1,0.8421,likely_safe
Florence - South Florence No. 2,FLORENCE - SOUTH FLORENCE NO. 2,Florence - South Florence 2,0.9310,Florence - South Florence 1,0.8966,Florence - West Florence 2,0.8421,likely_safe
Florence - Timmonsville No. 1,FLORENCE - TIMMONSVILLE NO. 1,Florence - Timmonsville 1,0.9259,Florence - Timmonsville 2,0.8889,Florence - Delmae No. 1,0.7308,likely_safe
Florence - Timmonsville No. 2,FLORENCE - TIMMONSVILLE NO. 2,Florence - Timmonsville 2,0.9259,Florence - Timmonsville 1,0.8889,Florence - Delmae No. 2,0.7308,likely_safe
Florence - West Florence No. 1,FLORENCE - WEST FLORENCE NO. 1,Florence - West Florence 1,0.9286,Florence - West Florence 2,0.8929,Florence - South Florence 1,0.8421,likely_safe
Florence - West Florence No. 2,FLORENCE - WEST FLORENCE NO. 2,Florence - West Florence 2,0.9286,Florence - West Florence 1,0.8929,Florence - South Florence 2,0.8421,likely_safe
Georgetown - Cedar Creek,GEORGETOWN - CEDAR CREEK,Lee - Cedar Creek,0.7805,Georgetown - Santee,0.7442,Georgetown - Andrews,0.7273,review
Georgetown - Dreamkeepers,GEORGETOWN - DREAMKEEPERS,Georgetown - Dream Keepers,0.9804,Georgetown - Andrews,0.7556,Georgetown - Sampit,0.7273,likely_safe
Georgetown - Emergency,GEORGETOWN - EMERGENCY,Georgetown - Pee Dee,0.7619,Georgetown - Myersville,0.7556,Georgetown - Bethel,0.7317,review
Georgetown - Georgetown 1,GEORGETOWN - GEORGETOWN 1,Georgetown - Georgetown No. 1,0.9259,Georgetown - Georgetown No. 3,0.8889,Georgetown - Georgetown No. 4,0.8889,likely_safe
Georgetown - Georgetown No. 2-Dream Keepers,GEORGETOWN - GEORGETOWN NO. 2-DREAM KEEPERS,Georgetown - Georgetown No. 1,0.7778,Georgetown - Georgetown No. 3,0.7778,Georgetown - Georgetown No. 4,0.7778,review
Georgetown - Georgetown No. 2-Dreamkeepers,GEORGETOWN - GEORGETOWN NO. 2-DREAMKEEPERS,Georgetown - Georgetown No. 1,0.7887,Georgetown - Georgetown No. 3,0.7887,Georgetown - Georgetown No. 4,0.7887,review
Georgetown - Pawleys Isl 1,GEORGETOWN - PAWLEYS ISL 1,Georgetown - Pawley'S Island No. 1,0.8814,Georgetown - Pawley'S Island No. 2,0.8475,Georgetown - Pawley'S Island No. 3,0.8475,review
Georgetown - Pawleys Isl 2,GEORGETOWN - PAWLEYS ISL 2,Georgetown - Pawley'S Island No. 2,0.8814,Georgetown - Pawley'S Island No. 1,0.8475,Georgetown - Pawley'S Island No. 3,0.8475,review
Georgetown - Pawleys Isl 3,GEORGETOWN - PAWLEYS ISL 3,Georgetown - Pawley'S Island No. 3,0.8814,Georgetown - Pawley'S Island No. 1,0.8475,Georgetown - Pawley'S Island No. 2,0.8475,review
Georgetown - Pawleys Isl 4,GEORGETOWN - PAWLEYS ISL 4,Georgetown - Pawley'S Island No. 4,0.8814,Georgetown - Pawley'S Island No. 1,0.8475,Georgetown - Pawley'S Island No. 2,0.8475,review
Georgetown - Pawleys Isl 5,GEORGETOWN - PAWLEYS ISL 5,Georgetown - Pawley'S Island No. 5,0.8814,Georgetown - Pawley'S Island No. 1,0.8475,Georgetown - Pawley'S Island No. 2,0.8475,review
Greenville - Brook Glenn,GREENVILLE - BROOK GLENN,Greenville - Brookglenn,0.9787,Greenville - Rock Hill,0.7826,Greenville - Aiken,0.7619,likely_safe
Greenville - River Walk,GREENVILLE - RIVER WALK,Greenville - Riverwalk,0.9778,Greenville - Riverside,0.8000,Greenville - Silverleaf,0.7826,likely_safe
Greenville - Travelers Rest,GREENVILLE - TRAVELERS REST,Greenville - Travelers Rest 1,0.9643,Greenville - Travelers Rest 2,0.9643,Greenville - Riverside,0.7755,likely_safe
Greenwood - Emergency,GREENWOOD - EMERGENCY,Greenwood - Verdery,0.8000,Greenwood - Emerald,0.8000,Greenwood - Georgetown,0.7907,review
Greenwood - Emergency Provisional,GREENWOOD - EMERGENCY PROVISIONAL,Greenwood - Provisional,0.8214,Greenwood - Failsafe Provisional,0.7692,,,review
Greenwood - Glendale 9,GREENWOOD - GLENDALE 9,Greenwood - Glendale,0.9524,Greenwood - Laco,0.7368,Greenwood - Verdery,0.7317,likely_safe
Greenwood - Greenwood No. 1,GREENWOOD - GREENWOOD NO. 1,Greenwood - Greenwood High,0.8302,Greenwood - Greenwood Mill,0.8302,,,review
Greenwood - Greenwood No. 2,GREENWOOD - GREENWOOD NO. 2,Greenwood - Greenwood High,0.8302,Greenwood - Greenwood Mill,0.8302,,,review
Greenwood - Greenwood No. 3,GREENWOOD - GREENWOOD NO. 3,Greenwood - Greenwood High,0.8302,Greenwood - Greenwood Mill,0.8302,,,review
Greenwood - Greenwood No. 4,GREENWOOD - GREENWOOD NO. 4,Greenwood - Greenwood High,0.8302,Greenwood - Greenwood Mill,0.8302,,,review
Greenwood - Greenwood No. 5,GREENWOOD - GREENWOOD NO. 5,Greenwood - Greenwood High,0.8302,Greenwood - Greenwood Mill,0.8302,,,review
Greenwood - Greenwood No. 6,GREENWOOD - GREENWOOD NO. 6,Greenwood - Greenwood High,0.8302,Greenwood - Greenwood Mill,0.8302,,,review
Greenwood - Greenwood No. 7,GREENWOOD - GREENWOOD NO. 7,Greenwood - Greenwood High,0.8302,Greenwood - Greenwood Mill,0.8302,,,review
Greenwood - Greenwood No. 8,GREENWOOD - GREENWOOD NO. 8,Greenwood - Greenwood High,0.8302,Greenwood - Greenwood Mill,0.8302,,,review
Greenwood - Merrywood,GREENWOOD - MERRYWOOD,Greenwood - Stonewood,0.8095,Greenwood - Verdery,0.8000,Greenwood - Emerald,0.8000,review
Greenwood - Newcastle,GREENWOOD - NEWCASTLE,Greenwood - New Castle,0.9767,Greenwood - Pinecrest,0.8095,Greenwood - New Market,0.7907,likely_safe
Greenwood - Ninety Six Depot,GREENWOOD - NINETY SIX DEPOT,Greenwood - Ninety Six,0.8800,Greenwood - Ninety Six Mill,0.8364,,,review
Greenwood - Rutherford,GREENWOOD - RUTHERFORD,Greenwood - Rutherford Shoals,0.8627,Greenwood - Stonewood,0.7442,Greenwood - Troy,0.7368,review
Greenwood - Rutherford Ford,GREENWOOD - RUTHERFORD FORD,Greenwood - Rutherford Shoals,0.8571,,,,,review
Hampton - Crocketville-Miley,HAMPTON - CROCKETVILLE-MILEY,Hampton - Crocket-Miley,0.9020,,,,,likely_safe
Hampton - Hampton Courthouse No. 1,HAMPTON - HAMPTON COURTHOUSE NO. 1,Hampton - Hampton Courthouse No.1,0.9851,Hampton - Hampton Courthouse No.2,0.9552,,,likely_safe
Hampton - Hampton Courthouse No. 2,HAMPTON - HAMPTON COURTHOUSE NO. 2,Hampton - Hampton Courthouse No.2,0.9851,Hampton - Hampton Courthouse No.1,0.9552,,,likely_safe
Hampton - Hampton Cthse 2,HAMPTON - HAMPTON CTHSE 2,Hampton - Hampton Courthouse No.2,0.8621,Hampton - Hampton Courthouse No.1,0.8276,,,review
Horry - 4 Mile,HORRY - 4 MILE,Horry - Four Mile,0.8387,Horry - Maple,0.8148,Horry - Leon,0.7692,review
Horry - Bayboro,HORRY - BAYBORO,Horry - Aynor,0.8571,Horry - Bayboro-Gurley,0.8108,,,review
Horry - Brooksville,HORRY - BROOKSVILLE,Horry - Brooksville #1,0.9500,Horry - Brooksville #2,0.9500,Horry - Toddville,0.7778,likely_safe
Horry - Crescent,HORRY - CRESCENT,Horry - Cresent,0.9677,York - Crescent,0.8387,Horry - Green Sea,0.7273,likely_safe
Horry - Enterprise,HORRY - ENTERPRISE,Horry - Enterprise #1,0.9474,Horry - Enterprise #2,0.9474,Horry - Deerfield,0.7429,likely_safe
Horry - Floyds,HORRY - FLOYDS,Horry - Leon,0.7692,Horry - Horry,0.7407,Horry - Failsafe,0.7333,review
Horry - Galivants Ferry,HORRY - GALIVANTS FERRY,Horry - Gallivants Ferry,0.9787,,,,,likely_safe
Horry - Gurley,HORRY - GURLEY,Horry - Bayboro-Gurley,0.7778,Horry - Four Mile,0.7742,Horry - Leon,0.7692,review
Horry - Hickory Hill,HORRY - HICKORY HILL,Lee - Hickory Hill,0.7895,Horry - Hickory Grove,0.7805,Horry - Poplar Hill,0.7692,review
Horry - Jernigans Xroads,HORRY - JERNIGANS XROADS,Horry - Jerigans X Roads,0.9583,Horry - Nixons X Roads #1,0.7917,Horry - Nixons X Roads #2,0.7917,likely_safe
Horry - Jordanville,HORRY - JORDANVILLE,Horry - Toddville,0.8333,Horry - Four Mile,0.7222,,,review
Horry - Joyner Swamp,HORRY - JOYNER SWAMP,Horry - Tilly Swamp,0.7692,Horry - Pawley'S Swamp,0.7317,,,review
Horry - Lake Park,HORRY - LAKE PARK,Horry - Lake Park #1,0.9444,Horry - Lake Park #2,0.9444,Horry - Lake Park #3,0.9444,likely_safe
Horry - Marlowe,HORRY - MARLOWE,Horry - Marlowe #1,0.9375,Horry - Marlowe #2,0.9375,Horry - Marlowe #3,0.9375,likely_safe
Horry - Methodist Rehobeth,HORRY - METHODIST REHOBETH,,,,,,,no_confident_match
Horry - Mill Swamp,HORRY - MILL SWAMP,Horry - Tilly Swamp,0.9189,Horry - Methodist-Mill Swamp,0.7826,Horry - Pawley'S Swamp,0.7692,likely_safe
Horry - Norton,HORRY - NORTON,Horry - Aynor,0.8148,Horry - North Conway #1,0.7778,Horry - North Conway #2,0.7778,review
Horry - Spring Branch,HORRY - SPRING BRANCH,,,,,,,no_confident_match
Horry - Taylorsville,HORRY - TAYLORSVILLE,Horry - Toddville,0.8108,Horry - Brooksville #1,0.7317,Horry - Brooksville #2,0.7317,review
Jasper - Emergency,JASPER - EMERGENCY,,,,,,,no_confident_match
Jasper - Oakatie,JASPER - OAKATIE,Jasper - Okatie,0.9677,Jasper - Okatie 2,0.9091,Jasper - Coosawhatchie,0.7895,likely_safe
Kershaw - Camden No 1,KERSHAW - CAMDEN NO 1,Kershaw - Camden No. 1,0.9767,Kershaw - Camden No. 5,0.9302,Kershaw - Camden No. 6,0.9302,likely_safe
Kershaw - Camden No 2,KERSHAW - CAMDEN NO 2,Kershaw - Camden No. 2 & 3,0.9333,Kershaw - Camden No. 1,0.9302,Kershaw - Camden No. 5,0.9302,likely_safe
Kershaw - Camden No 3,KERSHAW - CAMDEN NO 3,Kershaw - Camden No. 2 & 3,0.9333,Kershaw - Camden No. 1,0.9302,Kershaw - Camden No. 5,0.9302,likely_safe
Kershaw - Camden No 4,KERSHAW - CAMDEN NO 4,Kershaw - Camden No. 1,0.9302,Kershaw - Camden No. 5,0.9302,Kershaw - Camden No. 6,0.9302,likely_safe
Kershaw - Camden No 5,KERSHAW - CAMDEN NO 5,Kershaw - Camden No. 5,0.9767,Kershaw - Camden No. 5-A,0.9333,Kershaw - Camden No. 1,0.9302,likely_safe
Kershaw - Camden No 5-A,KERSHAW - CAMDEN NO 5-A,Kershaw - Camden No. 5-A,0.9787,Kershaw - Camden No. 5,0.9333,Kershaw - Camden No. 1,0.8889,likely_safe
Kershaw - Camden No 6,KERSHAW - CAMDEN NO 6,Kershaw - Camden No. 6,0.9767,Kershaw - Camden No. 1,0.9302,Kershaw - Camden No. 5,0.9302,likely_safe
Kershaw - Camden No. 2,KERSHAW - CAMDEN NO. 2,Kershaw - Camden No. 2 & 3,0.9565,Kershaw - Camden No. 1,0.9545,Kershaw - Camden No. 5,0.9545,likely_safe
Kershaw - Camden No. 3,KERSHAW - CAMDEN NO. 3,Kershaw - Camden No. 2 & 3,0.9565,Kershaw - Camden No. 1,0.9545,Kershaw - Camden No. 5,0.9545,likely_safe
Kershaw - Camden No. 4,KERSHAW - CAMDEN NO. 4,Kershaw - Camden No. 1,0.9545,Kershaw - Camden No. 5,0.9545,Kershaw - Camden No. 6,0.9545,likely_safe
Kershaw - Camden No. 5A,KERSHAW - CAMDEN NO. 5A,Kershaw - Camden No. 5-A,0.9787,Kershaw - Camden No. 5,0.9778,Kershaw - Camden No. 1,0.9333,likely_safe
Kershaw - E Camden-Hermitage,KERSHAW - E CAMDEN-HERMITAGE,,,,,,,no_confident_match
Kershaw - Elgin No 1,KERSHAW - ELGIN NO 1,Kershaw - Elgin No. 1,0.9756,Kershaw - Elgin No. 2,0.9268,Kershaw - Elgin No. 3,0.9268,likely_safe
Kershaw - Elgin No 2,KERSHAW - ELGIN NO 2,Kershaw - Elgin No. 2,0.9756,Kershaw - Elgin No. 1,0.9268,Kershaw - Elgin No. 3,0.9268,likely_safe
Kershaw - Lugoff No 1,KERSHAW - LUGOFF NO 1,Kershaw - Lugoff No. 1,0.9767,Kershaw - Lugoff No. 2,0.9302,Kershaw - Lugoff No. 3,0.9302,likely_safe
Kershaw - Lugoff No 2,KERSHAW - LUGOFF NO 2,Kershaw - Lugoff No. 2,0.9767,Kershaw - Lugoff No. 1,0.9302,Kershaw - Lugoff No. 3,0.9302,likely_safe
Kershaw - Lugoff No 3,KERSHAW - LUGOFF NO 3,Kershaw - Lugoff No. 3,0.9767,Kershaw - Lugoff No. 1,0.9302,Kershaw - Lugoff No. 2,0.9302,likely_safe
Lancaster - 6 Mile Creek,LANCASTER - 6 MILE CREEK,Lancaster - Six Mile Creek,0.9200,Lancaster - Camp Creek,0.8261,Lancaster - Flat Creek,0.8261,likely_safe
Lancaster - Belair,LANCASTER - BELAIR,Lancaster - Elgin,0.8571,Lancaster - Osceola,0.8108,Lancaster - Mcilwain,0.7895,review
Lancaster - Belair Ii,LANCASTER - BELAIR II,Lancaster - Elgin,0.7895,Lancaster - Osceola,0.7500,Lancaster - Mcilwain,0.7317,review
Lancaster - Belair Number 2,LANCASTER - BELAIR NUMBER 2,Lancaster - Elgin,0.7273,,,,,review
Lancaster - Goochs Cross Rds,LANCASTER - GOOCHS CROSS RDS,,,,,,,no_confident_match
Lancaster - Goochs Cross Roads,LANCASTER - GOOCHS CROSS ROADS,,,,,,,no_confident_match
Lancaster - Wylie Park,LANCASTER - WYLIE PARK,Lancaster - Hyde Park,0.8837,Lancaster - College Park,0.8261,Lancaster - Erwin Farm,0.7727,review
Laurens - Barksdale-Narnie,LAURENS - BARKSDALE-NARNIE,Laurens - Barksdale-Narine,0.9615,,,,,likely_safe
Laurens - Brewerton,LAURENS - BREWERTON,Laurens - Brewerton-Princeton,0.7917,Laurens - Greenpond,0.7895,Laurens - Waterloo,0.7568,review
Laurens - Clinton No. 1,LAURENS - CLINTON NO. 1,Laurens - Clinton 1,0.9048,Laurens - Clinton 2,0.8571,Laurens - Clinton 3,0.8571,likely_safe
Laurens - Clinton No. 2,LAURENS - CLINTON NO. 2,Laurens - Clinton 2,0.9048,Laurens - Clinton 1,0.8571,Laurens - Clinton 3,0.8571,likely_safe
Laurens - Clinton No. 3,LAURENS - CLINTON NO. 3,Laurens - Clinton 3,0.9048,Laurens - Clinton 1,0.8571,Laurens - Clinton 2,0.8571,likely_safe
Laurens - Emergency 2,LAURENS - EMERGENCY 2,Laurens - Laurens 2,0.7500,,,,,review
Laurens - Martins-Poplar Spring,LAURENS - MARTINS-POPLAR SPRING,Laurens - Martins-Poplar Springs,0.9841,,,,,likely_safe
Laurens - Mt. Olive,LAURENS - MT. OLIVE,Laurens - Mount Olive,0.9000,Horry - Mt. Olive,0.7222,,,likely_safe
Laurens - Princeton,LAURENS - PRINCETON,Laurens - Brewerton-Princeton,0.7917,Laurens - Clinton 1,0.7895,Laurens - Clinton 2,0.7895,review
Laurens - Ward 3,LAURENS - WARD 3,Laurens - Laurens 3,0.8000,Laurens - Waterloo,0.7647,Laurens - Laurens 1,0.7429,review
Lee - Elliot,LEE - ELLIOT,Lee - Elliott,0.9600,,,,,likely_safe
Lee - S. Lynchburg,LEE - S. LYNCHBURG,Lee - Lynchburg,0.9091,Lee - South Lynchburg,0.8718,,,likely_safe
Lexington - 7 Oaks,LEXINGTON - 7 OAKS,Lexington - Seven Oaks,0.8500,Lexington - Oakwood,0.8108,Lexington - Red Bank,0.7895,review
Lexington - Barr Road,LEXINGTON - BARR ROAD,Lexington - Barr Road 1,0.9545,Lexington - Barr Road 2,0.9545,Lexington - Park Road 1,0.8636,likely_safe
Lexington - Cayce No. 2-A,LEXINGTON - CAYCE NO. 2-A,Lexington - Cayce No. 2,0.9583,Lexington - Cayce No. 1,0.9167,Lexington - Cayce No. 3,0.9167,likely_safe
Lexington - Cayce No. 2A,LEXINGTON - CAYCE NO. 2A,Lexington - Cayce No. 2,0.9787,Lexington - Cayce No. 1,0.9362,Lexington - Cayce No. 3,0.9362,likely_safe
Lexington - Cayce Ward No.1,LEXINGTON - CAYCE WARD NO.1,Lexington - Cayce No. 1,0.8800,Lexington - Cayce No. 2,0.8400,Lexington - Cayce No. 3,0.8400,review
Lexington - Cayce Ward No.2,LEXINGTON - CAYCE WARD NO.2,Lexington - Cayce No. 2,0.8800,Lexington - Cayce No. 1,0.8400,Lexington - Cayce No. 3,0.8400,review
Lexington - Cayce Ward No.3,LEXINGTON - CAYCE WARD NO.3,Lexington - Cayce No. 3,0.8800,Lexington - Cayce No. 1,0.8400,Lexington - Cayce No. 2,0.8400,review
Lexington - Cedar Crest,LEXINGTON - CEDAR CREST,Lexington - Cedarcrest,0.9778,Lexington - Mack-Edisto,0.7391,Lexington - Cromer,0.7317,likely_safe
Lexington - Edmund,LEXINGTON - EDMUND,Lexington - Edmund 1,0.9474,Lexington - Edmund 2,0.9474,Lexington - Edenwood,0.8421,likely_safe
Lexington - Lexington 3,LEXINGTON - LEXINGTON 3,Lexington - Lexington No. 3,0.9200,Lexington - Lexington No. 1,0.8800,Lexington - Lexington No. 2,0.8800,likely_safe
Lexington - Lexington 4,LEXINGTON - LEXINGTON 4,Lexington - Lexington No. 4,0.9200,Lexington - Lexington No. 1,0.8800,Lexington - Lexington No. 2,0.8800,likely_safe
Lexington - Old Barnwell,LEXINGTON - OLD BARNWELL,Lexington - Old Barnwell Road,0.9057,Lexington - Red Bank,0.7727,Lexington - Pond Branch,0.7660,likely_safe
Lexington - Old Barnwell Rd,LEXINGTON - OLD BARNWELL RD,Lexington - Old Barnwell Road,0.9643,Lexington - Red Bank,0.7234,Lexington - Pond Branch,0.7200,likely_safe
Lexington - Park Road,LEXINGTON - PARK ROAD,Lexington - Park Road 1,0.9545,Lexington - Park Road 2,0.9545,Lexington - Leaphart Road,0.8696,likely_safe
Lexington - Pilgrim Church,LEXINGTON - PILGRIM CHURCH,Lexington - Pilgrim Chruch,0.9615,Lexington - Faith Church,0.8000,Lexington - Beulah  Church,0.7843,likely_safe
Lexington - Pine Ridge,LEXINGTON - PINE RIDGE,Lexington - Pine Ridge 1,0.9565,Lexington - Pine Ridge 2,0.9565,Lexington - Pineview,0.8571,likely_safe
Lexington - Pineridge 1,LEXINGTON - PINERIDGE 1,Lexington - Pine Ridge 1,0.9787,Lexington - Pine Ridge 2,0.9362,Lexington - Pineview,0.8372,likely_safe
Lexington - Pineridge 2,LEXINGTON - PINERIDGE 2,Lexington - Pine Ridge 2,0.9787,Lexington - Pine Ridge 1,0.9362,Lexington - Pineview,0.8372,likely_safe
Lexington - Red Bank South,LEXINGTON - RED BANK SOUTH,Lexington - Red Bank South 1,0.9630,Lexington - Red Bank South 2,0.9630,Lexington - Red Bank,0.8696,likely_safe
Lexington - Redbank South 2,LEXINGTON - REDBANK SOUTH 2,Lexington - Red Bank South 2,0.9818,Lexington - Red Bank South 1,0.9455,Lexington - Red Bank,0.8085,likely_safe
Lexington - Saint David,LEXINGTON - SAINT DAVID,Lexington - St. Davids,0.8889,Lexington - Springdale,0.7556,Lexington - Fairview,0.7442,review
Lexington - Sandhill,LEXINGTON - SANDHILL,Lexington - Sand Hill,0.9756,Lexington - Round Hill,0.8571,Lexington - Woodland Hills,0.8261,likely_safe
