precinct_id,cvap_18plus,hispanic_cvap,non_hispanic_cvap,white_cvap,black_cvap,asian_cvap,native_cvap,pacific_cvap,multiracial_cvap,white_cvap_pct,black_cvap_pct,hispanic_cvap_pct,asian_cvap_pct,native_cvap_pct,pacific_cvap_pct,multiracial_cvap_pct
CHARLESTON - ST. ANDREWS 10,1126,8,1172,773,372,3,1,0,5,68.65,33.04,0.71,0.27,0.09,0.00,0.44
CHARLESTON - ST. ANDREWS 11,835,2,835,778,23,33,1,0,3,93.17,2.75,0.24,3.95,0.12,0.00,0.36
CHARLESTON - ST. ANDREWS 12,1116,8,1106,953,107,29,0,0,0,85.39,9.59,0.72,2.60,0.00,0.00,0.00
CHARLESTON - ST. ANDREWS 13,1268,46,1230,868,301,60,0,0,0,68.45,23.74,3.63,4.73,0.00,0.00,0.00
CHARLESTON - ST. ANDREWS 14,1481,54,1362,974,370,0,14,0,0,65.77,24.98,3.65,0.00,0.95,0.00,0.00
CHARLESTON - ST. ANDREWS 15,2124,23,2117,761,1082,82,0,0,0,35.83,50.94,1.08,3.86,0.00,0.00,0.00
CHARLESTON - ST. ANDREWS 16,1053,0,1065,789,214,0,0,1,0,74.93,20.32,0.00,0.00,0.00,0.09,0.00
CHARLESTON - ST. ANDREWS 17,1497,0,1494,1119,281,0,0,49,0,74.75,18.77,0.00,0.00,0.00,3.27,0.00
CHARLESTON - ST. ANDREWS 18,2101,133,1931,1219,607,55,0,8,0,58.02,28.89,6.33,2.62,0.00,0.38,0.00
CHARLESTON - ST. ANDREWS 19,451,11,439,82,398,11,0,0,0,18.18,88.25,2.44,2.44,0.00,0.00,0.00
CHARLESTON - ST. ANDREWS 2,1237,23,1213,1133,20,32,0,0,0,91.59,1.62,1.86,2.59,0.00,0.00,0.00
CHARLESTON - ST. ANDREWS 20,3105,116,3002,2270,531,41,0,0,0,73.11,17.10,3.74,1.32,0.00,0.00,0.00
CHARLESTON - ST. ANDREWS 21,1152,104,1050,614,396,20,14,0,0,53.30,34.38,9.03,1.74,1.22,0.00,0.00
CHARLESTON - ST. ANDREWS 22,1399,56,1341,1179,122,0,0,0,0,84.27,8.72,4.00,0.00,0.00,0.00,0.00
CHARLESTON - ST. ANDREWS 23,989,59,932,840,42,0,0,0,0,84.93,4.25,5.97,0.00,0.00,0.00,0.00
CHARLESTON - ST. ANDREWS 24,1587,68,1520,885,420,0,0,0,0,55.77,26.47,4.28,0.00,0.00,0.00,0.00
CHARLESTON - ST. ANDREWS 25,2147,23,2122,1140,930,39,0,0,0,53.10,43.32,1.07,1.82,0.00,0.00,0.00
CHARLESTON - ST. ANDREWS 26,1329,16,1315,991,292,10,0,0,19,74.57,21.97,1.20,0.75,0.00,0.00,1.43
CHARLESTON - ST. ANDREWS 27,3694,105,3588,2624,671,184,0,0,0,71.03,18.16,2.84,4.98,0.00,0.00,0.00
CHARLESTON - ST. ANDREWS 28,3618,175,3441,2964,311,112,0,0,0,81.92,8.60,4.84,3.10,0.00,0.00,0.00
CHARLESTON - ST. ANDREWS 29,5100,41,5060,4299,603,35,0,0,0,84.29,11.82,0.80,0.69,0.00,0.00,0.00
CHARLESTON - ST. ANDREWS 3,1222,29,1192,592,599,1,2,0,7,48.45,49.02,2.37,0.08,0.16,0.00,0.57
CHARLESTON - ST. ANDREWS 30,2713,157,2560,2120,302,12,0,4,48,78.14,11.13,5.79,0.44,0.00,0.15,1.77
CHARLESTON - ST. ANDREWS 31,1155,4,1147,932,190,3,0,0,4,80.69,16.45,0.35,0.26,0.00,0.00,0.35
CHARLESTON - ST. ANDREWS 32,1005,126,892,549,297,0,0,0,0,54.63,29.55,12.54,0.00,0.00,0.00,0.00
CHARLESTON - ST. ANDREWS 33,660,18,630,498,64,11,0,0,0,75.45,9.70,2.73,1.67,0.00,0.00,0.00
CHARLESTON - ST. ANDREWS 34,2468,62,2399,1998,362,23,0,0,110,80.96,14.67,2.51,0.93,0.00,0.00,4.46
CHARLESTON - ST. ANDREWS 35,1546,42,1509,1233,220,23,15,0,0,79.75,14.23,2.72,1.49,0.97,0.00,0.00
CHARLESTON - ST. ANDREWS 36,1266,42,1224,1057,82,31,0,0,0,83.49,6.48,3.32,2.45,0.00,0.00,0.00
CHARLESTON - ST. ANDREWS 37,5070,219,4854,4554,53,143,15,11,0,89.82,1.05,4.32,2.82,0.30,0.22,0.00
CHARLESTON - ST. ANDREWS 4,1574,98,1479,1441,21,10,0,2,0,91.55,1.33,6.23,0.64,0.00,0.13,0.00
CHARLESTON - ST. ANDREWS 5,1357,20,1336,1308,11,10,4,2,0,96.39,0.81,1.47,0.74,0.29,0.15,0.00
CHARLESTON - ST. ANDREWS 6,923,6,917,890,23,0,0,0,0,96.42,2.49,0.65,0.00,0.00,0.00,0.00
CHARLESTON - ST. ANDREWS 7,2016,57,1950,1635,219,0,0,5,26,81.10,10.86,2.83,0.00,0.00,0.25,1.29
CHARLESTON - ST. ANDREWS 8,1784,0,1781,663,1083,0,0,0,0,37.16,60.71,0.00,0.00,0.00,0.00,0.00
CHARLESTON - ST. ANDREWS 9,711,0,722,255,347,0,0,28,0,35.86,48.80,0.00,0.00,0.00,3.94,0.00
CHARLESTON - ST. PAULS 1,778,2,770,200,547,0,0,0,0,25.71,70.31,0.26,0.00,0.00,0.00,0.00
CHARLESTON - ST. PAULS 2A,933,0,932,313,587,0,22,0,0,33.55,62.92,0.00,0.00,2.36,0.00,0.00
CHARLESTON - ST. PAULS 2B,1234,52,1189,578,592,5,6,0,0,46.84,47.97,4.21,0.41,0.49,0.00,0.00
CHARLESTON - ST. PAULS 3,2390,43,2356,1751,478,71,0,0,0,73.26,20.00,1.80,2.97,0.00,0.00,0.00
CHARLESTON - ST. PAULS 4,1725,72,1647,556,1108,1,0,10,0,32.23,64.23,4.17,0.06,0.00,0.58,0.00
CHARLESTON - ST. PAULS 5,1125,73,1048,444,490,33,0,0,0,39.47,43.56,6.49,2.93,0.00,0.00,0.00
CHARLESTON - ST. PAULS 6,3413,34,3380,1699,1733,14,0,3,0,49.78,50.78,1.00,0.41,0.00,0.09,0.00
CHARLESTON - SULLIVANS ISLAND,1649,25,1624,1611,9,0,0,0,0,97.70,0.55,1.52,0.00,0.00,0.00,0.00
CHARLESTON - WADMALAW ISLAND 1,1059,49,1011,736,292,8,0,0,0,69.50,27.57,4.63,0.76,0.00,0.00,0.00
CHARLESTON - WADMALAW ISLAND 2,1102,53,1048,563,403,24,0,0,0,51.09,36.57,4.81,2.18,0.00,0.00,0.00
CHEROKEE - ALLENS,1783,0,1796,1683,79,0,0,0,0,94.39,4.43,0.00,0.00,0.00,0.00,0.00
CHEROKEE - ALMA MILL,2402,40,2355,1341,890,0,0,0,0,55.83,37.05,1.67,0.00,0.00,0.00,0.00
CHEROKEE - ANTIOCH AND KINGS CREEK,1838,37,1799,1707,47,0,12,0,0,92.87,2.56,2.01,0.00,0.65,0.00,0.00
CHEROKEE - ASHWORTH,1437,52,1389,1317,37,0,0,0,6,91.65,2.57,3.62,0.00,0.00,0.00,0.42
CHEROKEE - BLACKSBURG WARD NO. 1,1105,37,1067,862,208,0,0,0,0,78.01,18.82,3.35,0.00,0.00,0.00,0.00
CHEROKEE - BLACKSBURG WARD NO. 2,1428,25,1407,1293,99,0,0,0,0,90.55,6.93,1.75,0.00,0.00,0.00,0.00
CHEROKEE - DRAYTONVILLE,2243,15,2247,1951,350,0,1,0,0,86.98,15.60,0.67,0.00,0.04,0.00,0.00
CHEROKEE - EZELLS AND BUTLER,1760,46,1712,1662,50,0,0,0,9,94.43,2.84,2.61,0.00,0.00,0.00,0.51
CHEROKEE - GAFFNEY WARD NO. 1,882,35,841,352,449,0,0,0,35,39.91,50.91,3.97,0.00,0.00,0.00,3.97
CHEROKEE - GAFFNEY WARD NO. 2,1185,58,1131,307,745,0,0,0,66,25.91,62.87,4.89,0.00,0.00,0.00,5.57
CHEROKEE - GAFFNEY WARD NO. 3,1113,62,1058,276,761,0,4,0,0,24.80,68.37,5.57,0.00,0.36,0.00,0.00
CHEROKEE - GAFFNEY WARD NO. 4,1366,54,1296,783,511,1,0,0,0,57.32,37.41,3.95,0.07,0.00,0.00,0.00
CHEROKEE - GAFFNEY WARD NO. 5,1695,35,1653,1215,327,0,52,0,13,71.68,19.29,2.06,0.00,3.07,0.00,0.77
CHEROKEE - GAFFNEY WARD NO. 6,1098,50,1064,838,151,0,23,0,0,76.32,13.75,4.55,0.00,2.09,0.00,0.00
CHEROKEE - GOUCHER AND THICKETTY,1688,142,1567,1361,146,0,0,0,33,80.63,8.65,8.41,0.00,0.00,0.00,1.95
CHEROKEE - GRASSY POND,2864,143,2720,2152,409,0,0,0,0,75.14,14.28,4.99,0.00,0.00,0.00,0.00
CHEROKEE - HOLLY GROVE AND BUFFALO,1566,26,1538,1410,75,0,0,0,0,90.04,4.79,1.66,0.00,0.00,0.00,0.00
CHEROKEE - LIMESTONE MILL,1273,11,1250,779,469,0,0,0,0,61.19,36.84,0.86,0.00,0.00,0.00,0.00
CHEROKEE - LITTLEJOHNS AND SARRATTS,396,4,395,333,73,0,0,0,0,84.09,18.43,1.01,0.00,0.00,0.00,0.00
CHEROKEE - MACEDONIA,2455,199,2262,1666,411,0,0,0,33,67.86,16.74,8.11,0.00,0.00,0.00,1.34
CHEROKEE - MORGAN,1689,72,1619,1510,61,0,0,0,14,89.40,3.61,4.26,0.00,0.00,0.00,0.83
CHEROKEE - MUSGROVE MILL,1885,35,1824,1324,386,2,5,0,0,70.24,20.48,1.86,0.11,0.27,0.00,0.00
CHEROKEE - NINETY NINE AND CHEROKEE FALLS,854,8,847,829,10,34,0,0,0,97.07,1.17,0.94,3.98,0.00,0.00,0.00
CHEROKEE - PLEASANT GROVE,1095,49,1041,587,449,0,0,0,0,53.61,41.00,4.47,0.00,0.00,0.00,0.00
CHEROKEE - PLEASANT MEADOWS,739,7,728,264,384,1,0,0,0,35.72,51.96,0.95,0.14,0.00,0.00,0.00
CHEROKEE - TIMBER RIDGE,1144,8,1133,1088,22,0,0,0,0,95.10,1.92,0.70,0.00,0.00,0.00,0.00
CHEROKEE - WHITE PLAINS,1688,10,1675,1506,158,0,0,0,0,89.22,9.36,0.59,0.00,0.00,0.00,0.00
CHEROKEE - WILKINSVILLE AND METCALF,669,0,668,668,3,0,0,0,0,99.85,0.45,0.00,0.00,0.00,0.00,0.00
CHEROKEE - WOODS,1312,56,1254,1149,96,0,0,0,3,87.58,7.32,4.27,0.00,0.00,0.00,0.23
CHESTER - BALDWIN MILL,1428,36,1390,968,395,0,0,6,13,67.79,27.66,2.52,0.00,0.00,0.42,0.91
CHESTER - BATON ROUGE,799,0,799,730,68,0,0,0,0,91.36,8.51,0.00,0.00,0.00,0.00,0.00
CHESTER - BECKHAMVILLE,808,16,795,522,226,0,0,0,0,64.60,27.97,1.98,0.00,0.00,0.00,0.00
CHESTER - BLACKSTOCK,615,5,608,413,167,0,0,0,0,67.15,27.15,0.81,0.00,0.00,0.00,0.00
CHESTER - CHESTER WARD 1,2050,2,2056,614,1345,0,7,1,0,29.95,65.61,0.10,0.00,0.34,0.05,0.00
CHESTER - CHESTER WARD 2,881,14,866,394,433,0,0,0,25,44.72,49.15,1.59,0.00,0.00,0.00,2.84
CHESTER - CHESTER WARD 3,1845,59,1784,940,771,48,0,0,0,50.95,41.79,3.20,2.60,0.00,0.00,0.00
CHESTER - CHESTER WARD 4,1092,33,1067,331,795,0,0,0,0,30.31,72.80,3.02,0.00,0.00,0.00,0.00
CHESTER - CHESTER WARD 5,1014,12,998,715,225,0,0,0,0,70.51,22.19,1.18,0.00,0.00,0.00,0.00
CHESTER - EDGEMOOR,1263,0,1262,1089,170,0,0,0,0,86.22,13.46,0.00,0.00,0.00,0.00,0.00
CHESTER - EUREKA MILL,2266,17,2245,697,1551,0,0,0,0,30.76,68.45,0.75,0.00,0.00,0.00,0.00
CHESTER - FORT LAWN,1935,49,1882,1252,582,0,17,0,1,64.70,30.08,2.53,0.00,0.88,0.00,0.05
CHESTER - GREAT FALLS,1276,31,1243,840,357,0,2,0,0,65.83,27.98,2.43,0.00,0.16,0.00,0.00
CHESTER - HALSELLVILLE,317,5,310,149,176,0,0,0,0,47.00,55.52,1.58,0.00,0.00,0.00,0.00
CHESTER - HAZELWOOD,776,9,770,710,65,46,2,0,0,91.49,8.38,1.16,5.93,0.26,0.00,0.00
CHESTER - LANDOLANDSFORD,1142,8,1131,1012,101,1,0,0,3,88.62,8.84,0.70,0.09,0.00,0.00,0.26
CHESTER - LOWRYS,1117,20,1089,942,141,0,9,2,0,84.33,12.62,1.79,0.00,0.81,0.18,0.00
CHESTER - RICHBURG,1381,10,1370,857,436,6,0,0,0,62.06,31.57,0.72,0.43,0.00,0.00,0.00
CHESTER - RODMAN,1609,37,1579,1116,349,5,0,0,0,69.36,21.69,2.30,0.31,0.00,0.00,0.00
CHESTER - ROSSVILLE,549,31,523,392,76,0,1,0,0,71.40,13.84,5.65,0.00,0.18,0.00,0.00
CHESTER - WILKSBURG,607,0,609,523,76,0,0,0,0,86.16,12.52,0.00,0.00,0.00,0.00,0.00
CHESTERFIELD - ANGELUS-CATARRH,998,7,1002,782,213,0,0,0,0,78.36,21.34,0.70,0.00,0.00,0.00,0.00
CHESTERFIELD - BAY SPRINGS,490,1,501,474,32,0,0,0,0,96.73,6.53,0.20,0.00,0.00,0.00,0.00
CHESTERFIELD - BLACK CREEK,722,19,679,598,87,0,0,0,0,82.83,12.05,2.63,0.00,0.00,0.00,0.00
CHESTERFIELD - BROCKS MILL,1832,21,1818,915,869,0,0,0,0,49.95,47.43,1.15,0.00,0.00,0.00,0.00
CHESTERFIELD - CASH,1237,17,1214,620,655,10,0,0,0,50.12,52.95,1.37,0.81,0.00,0.00,0.00
CHESTERFIELD - CENTER GROVE-WINZO,1433,99,1320,645,635,5,0,0,0,45.01,44.31,6.91,0.35,0.00,0.00,0.00
CHESTERFIELD - CHERAW NO. 1,1593,59,1531,969,531,13,0,0,0,60.83,33.33,3.70,0.82,0.00,0.00,0.00
CHESTERFIELD - CHERAW NO. 2,1213,24,1193,724,416,25,0,0,0,59.69,34.30,1.98,2.06,0.00,0.00,0.00
CHESTERFIELD - CHERAW NO. 3,1705,15,1688,527,1067,3,7,0,85,30.91,62.58,0.88,0.18,0.41,0.00,4.99
CHESTERFIELD - CHERAW NO. 4,1702,21,1680,798,783,0,18,0,5,46.89,46.00,1.23,0.00,1.06,0.00,0.29
CHESTERFIELD - COURTHOUSE,2490,35,2456,1731,688,2,0,0,0,69.52,27.63,1.41,0.08,0.00,0.00,0.00
CHESTERFIELD - DUDLEY-MANGUM,1010,25,985,882,52,0,0,0,0,87.33,5.15,2.48,0.00,0.00,0.00,0.00
CHESTERFIELD - GRANTS MILL,1710,3,1712,1099,462,0,5,0,28,64.27,27.02,0.18,0.00,0.29,0.00,1.64
CHESTERFIELD - JEFFERSON,2502,145,2371,1632,677,19,0,0,4,65.23,27.06,5.80,0.76,0.00,0.00,0.16
CHESTERFIELD - MCBEE,1713,11,1703,1325,346,0,7,0,0,77.35,20.20,0.64,0.00,0.41,0.00,0.00
CHESTERFIELD - MIDDENDORF,931,53,863,798,31,0,0,0,0,85.71,3.33,5.69,0.00,0.00,0.00,0.00
CHESTERFIELD - MT. CROGHAN,443,36,406,325,39,0,0,0,0,73.36,8.80,8.13,0.00,0.00,0.00,0.00
CHESTERFIELD - OUSLEYDALE,1039,41,1004,907,20,0,9,0,21,87.30,1.92,3.95,0.00,0.87,0.00,2.02
CHESTERFIELD - PAGELAND NO. 1,2620,143,2477,1110,1271,0,0,0,41,42.37,48.51,5.46,0.00,0.00,0.00,1.56
CHESTERFIELD - PAGELAND NO. 2,1945,74,1886,1111,762,17,0,0,7,57.12,39.18,3.80,0.87,0.00,0.00,0.36
CHESTERFIELD - PATRICK,810,2,802,537,271,0,0,0,0,66.30,33.46,0.25,0.00,0.00,0.00,0.00
CHESTERFIELD - PEE DEE,433,25,413,313,44,0,0,0,0,72.29,10.16,5.77,0.00,0.00,0.00,0.00
CHESTERFIELD - RUBY,1277,57,1220,963,247,0,0,0,0,75.41,19.34,4.46,0.00,0.00,0.00,0.00
CHESTERFIELD - SHILOH,635,4,632,466,147,0,14,0,0,73.39,23.15,0.63,0.00,2.20,0.00,0.00
CHESTERFIELD - SNOW HILL-VAUGHN,618,16,592,452,134,3,22,0,0,73.14,21.68,2.59,0.49,3.56,0.00,0.00
CLARENDON - ALCOLU,1038,39,999,499,475,0,0,0,0,48.07,45.76,3.76,0.00,0.00,0.00,0.00
CLARENDON - BARRINEAU,701,0,701,505,196,0,0,0,0,72.04,27.96,0.00,0.00,0.00,0.00,0.00
CLARENDON - BARROWS MILL,149,11,137,110,27,0,0,0,0,73.83,18.12,7.38,0.00,0.00,0.00,0.00
CLARENDON - BLOOMVILLE,526,0,526,351,138,0,0,0,0,66.73,26.24,0.00,0.00,0.00,0.00,0.00
CLARENDON - CALVARY,594,0,594,117,469,0,0,0,0,19.70,78.96,0.00,0.00,0.00,0.00,0.00
CLARENDON - DAVIS STATION,1680,41,1636,875,723,25,0,0,0,52.08,43.04,2.44,1.49,0.00,0.00,0.00
CLARENDON - HARMONY,532,0,532,319,181,0,0,0,0,59.96,34.02,0.00,0.00,0.00,0.00,0.00
CLARENDON - HICKS,824,0,817,585,189,0,0,0,15,71.00,22.94,0.00,0.00,0.00,0.00,1.82
CLARENDON - HOME BRANCH,383,21,362,275,55,0,0,0,0,71.80,14.36,5.48,0.00,0.00,0.00,0.00
CLARENDON - JORDAN,2518,20,2504,2146,269,41,41,0,0,85.23,10.68,0.79,1.63,1.63,0.00,0.00
CLARENDON - MANNING NO. 1,755,4,754,277,481,0,0,2,0,36.69,63.71,0.53,0.00,0.00,0.26,0.00
CLARENDON - MANNING NO. 2,1267,0,1268,463,797,0,0,0,0,36.54,62.90,0.00,0.00,0.00,0.00,0.00
CLARENDON - MANNING NO. 3,1447,37,1404,919,444,44,0,0,0,63.51,30.68,2.56,3.04,0.00,0.00,0.00
CLARENDON - MANNING NO. 4,1363,15,1352,390,837,0,0,0,0,28.61,61.41,1.10,0.00,0.00,0.00,0.00
CLARENDON - MANNING NO. 5,1559,0,1560,750,810,0,0,0,0,48.11,51.96,0.00,0.00,0.00,0.00,0.00
CLARENDON - NEW ZION,1533,63,1471,581,877,0,0,0,0,37.90,57.21,4.11,0.00,0.00,0.00,0.00
CLARENDON - OAKDALE,279,0,285,165,118,0,0,0,0,59.14,42.29,0.00,0.00,0.00,0.00,0.00
CLARENDON - PANOLA,161,0,161,36,112,0,4,0,0,22.36,69.57,0.00,0.00,2.48,0.00,0.00
CLARENDON - PAXVILLE,999,51,945,362,576,0,11,0,0,36.24,57.66,5.11,0.00,1.10,0.00,0.00
CLARENDON - SARDINIA-GABLE,284,0,278,103,176,0,0,0,0,36.27,61.97,0.00,0.00,0.00,0.00,0.00
CLARENDON - SUMMERTON NO. 1,1451,66,1388,871,477,13,0,0,0,60.03,32.87,4.55,0.90,0.00,0.00,0.00
CLARENDON - SUMMERTON NO. 2,274,0,274,98,176,0,0,0,0,35.77,64.23,0.00,0.00,0.00,0.00,0.00
CLARENDON - SUMMERTON NO. 3,1272,1,1269,243,991,0,0,0,0,19.10,77.91,0.08,0.00,0.00,0.00,0.00
CLARENDON - SUMMERTON NO. 4,1189,48,1144,679,439,9,0,0,0,57.11,36.92,4.04,0.76,0.00,0.00,0.00
CLARENDON - TURBEVILLE,1066,4,1069,819,279,0,0,0,2,76.83,26.17,0.38,0.00,0.00,0.00,0.19
CLARENDON - WILSON-FORESTON,1151,37,1107,403,712,0,0,2,0,35.01,61.86,3.21,0.00,0.00,0.17,0.00
COLLETON - ASHTON-LODGE,439,14,424,342,82,0,0,0,0,77.90,18.68,3.19,0.00,0.00,0.00,0.00
COLLETON - BELLS,237,0,235,166,58,0,0,0,0,70.04,24.47,0.00,0.00,0.00,0.00,0.00
COLLETON - BEREA-SMOAKS,1008,0,1007,419,534,0,5,18,21,41.57,52.98,0.00,0.00,0.50,1.79,2.08
COLLETON - CANADYS,499,18,481,250,248,0,0,0,0,50.10,49.70,3.61,0.00,0.00,0.00,0.00
COLLETON - COTTAGEVILLE,2126,20,2109,1826,240,0,10,0,0,85.89,11.29,0.94,0.00,0.47,0.00,0.00
COLLETON - EDISTO,489,4,486,179,310,0,0,2,3,36.61,63.39,0.82,0.00,0.00,0.41,0.61
COLLETON - EDISTO BEACH,1168,0,1168,1157,0,0,0,4,0,99.06,0.00,0.00,0.00,0.00,0.34,0.00
COLLETON - GREEN POND,930,0,934,212,593,1,0,0,0,22.80,63.76,0.00,0.11,0.00,0.00,0.00
COLLETON - HENDERSONVILLE,787,0,785,196,526,0,0,0,176,24.90,66.84,0.00,0.00,0.00,0.00,22.36
COLLETON - HORSE PEN,888,18,872,548,264,0,0,0,0,61.71,29.73,2.03,0.00,0.00,0.00,0.00
COLLETON - HUDSON MILL,796,0,792,744,113,0,0,0,6,93.47,14.20,0.00,0.00,0.00,0.00,0.75
COLLETON - JACKSONBORO,278,0,278,59,222,8,0,0,0,21.22,79.86,0.00,2.88,0.00,0.00,0.00
COLLETON - MAPLE CANE,1041,42,990,790,105,0,44,0,7,75.89,10.09,4.03,0.00,4.23,0.00,0.67
COLLETON - MASHAWVILLE,1052,7,1049,525,445,0,5,0,0,49.90,42.30,0.67,0.00,0.48,0.00,0.00
COLLETON - PEEPLES,1843,54,1788,941,759,0,1,0,58,51.06,41.18,2.93,0.00,0.05,0.00,3.15
COLLETON - PENIEL,1536,37,1500,517,830,7,0,0,19,33.66,54.04,2.41,0.46,0.00,0.00,1.24
COLLETON - PETITS,184,0,184,182,4,0,0,0,0,98.91,2.17,0.00,0.00,0.00,0.00,0.00
COLLETON - RICE PATCH,857,0,858,739,111,0,0,0,0,86.23,12.95,0.00,0.00,0.00,0.00,0.00
COLLETON - RITTER,1133,17,1114,293,764,0,0,0,49,25.86,67.43,1.50,0.00,0.00,0.00,4.32
COLLETON - ROUND O,884,26,863,616,202,0,7,0,6,69.68,22.85,2.94,0.00,0.79,0.00,0.68
COLLETON - RUFFIN,370,0,371,161,222,0,0,0,0,43.51,60.00,0.00,0.00,0.00,0.00,0.00
COLLETON - SIDNEYS,651,25,625,468,107,0,22,0,2,71.89,16.44,3.84,0.00,3.38,0.00,0.31
COLLETON - SNIDERS,509,0,504,477,19,0,0,0,0,93.71,3.73,0.00,0.00,0.00,0.00,0.00
COLLETON - STOKES,726,1,738,662,85,0,0,0,14,91.18,11.71,0.14,0.00,0.00,0.00,1.93
COLLETON - WALTERBORO NO. 1,1442,12,1428,713,697,7,0,0,0,49.45,48.34,0.83,0.49,0.00,0.00,0.00
COLLETON - WALTERBORO NO. 2,1378,24,1344,728,571,0,0,0,8,52.83,41.44,1.74,0.00,0.00,0.00,0.58
COLLETON - WALTERBORO NO. 3,909,0,911,266,615,0,0,0,0,29.26,67.66,0.00,0.00,0.00,0.00,0.00
COLLETON - WALTERBORO NO. 4,1380,27,1353,974,337,17,0,0,13,70.58,24.42,1.96,1.23,0.00,0.00,0.94
COLLETON - WALTERBORO NO. 5,1532,39,1494,1285,208,0,0,0,0,83.88,13.58,2.55,0.00,0.00,0.00,0.00
COLLETON - WALTERBORO NO. 6,1410,11,1407,807,571,0,0,0,5,57.23,40.50,0.78,0.00,0.00,0.00,0.35
COLLETON - WILLIAMS,272,0,271,194,72,0,0,0,0,71.32,26.47,0.00,0.00,0.00,0.00,0.00
COLLETON - WOLFE CREEK,441,1,435,363,45,0,0,0,0,82.31,10.20,0.23,0.00,0.00,0.00,0.00
DARLINGTON - ANTIOCH,2163,0,2160,1331,792,52,0,0,0,61.53,36.62,0.00,2.40,0.00,0.00,0.00
DARLINGTON - AUBURN,631,30,599,133,504,0,0,0,0,21.08,79.87,4.75,0.00,0.00,0.00,0.00
DARLINGTON - BETHEL,807,0,802,569,222,0,2,0,2,70.51,27.51,0.00,0.00,0.25,0.00,0.25
DARLINGTON - BLACK CREEK-CLYDE,954,0,952,781,91,0,4,0,0,81.87,9.54,0.00,0.00,0.42,0.00,0.00
DARLINGTON - BURNT BRANCH,437,0,440,405,28,0,0,0,0,92.68,6.41,0.00,0.00,0.00,0.00,0.00
DARLINGTON - DARLINGTON NO. 1,305,8,299,101,178,0,0,0,0,33.11,58.36,2.62,0.00,0.00,0.00,0.00
DARLINGTON - DARLINGTON NO. 2,1713,34,1678,466,1133,2,0,0,0,27.20,66.14,1.98,0.12,0.00,0.00,0.00
DARLINGTON - DARLINGTON NO. 3,3077,58,3019,1643,1299,0,2,0,0,53.40,42.22,1.88,0.00,0.06,0.00,0.00
DARLINGTON - DARLINGTON NO. 4,1284,66,1216,444,767,0,0,0,0,34.58,59.74,5.14,0.00,0.00,0.00,0.00
DARLINGTON - DARLINGTON NO. 5,2031,43,1988,170,1866,0,0,0,0,8.37,91.88,2.12,0.00,0.00,0.00,0.00
DARLINGTON - DARLINGTON NO. 6,1879,37,1828,921,855,45,0,0,0,49.02,45.50,1.97,2.39,0.00,0.00,0.00
DARLINGTON - DOVESVILLE,1482,0,1479,884,575,0,0,0,0,59.65,38.80,0.00,0.00,0.00,0.00,0.00
DARLINGTON - HARTSVILLE NO. 1,1372,31,1338,1163,142,24,0,0,0,84.77,10.35,2.26,1.75,0.00,0.00,0.00
DARLINGTON - HARTSVILLE NO. 4,1020,46,971,340,601,0,0,0,1,33.33,58.92,4.51,0.00,0.00,0.00,0.10
DARLINGTON - HARTSVILLE NO. 5,2529,11,2522,1654,752,153,0,0,0,65.40,29.74,0.43,6.05,0.00,0.00,0.00
DARLINGTON - HARTSVILLE NO. 6,1125,11,1114,41,1043,1,6,0,0,3.64,92.71,0.98,0.09,0.53,0.00,0.00
DARLINGTON - HARTSVILLE NO. 7,1374,20,1354,674,638,0,0,0,0,49.05,46.43,1.46,0.00,0.00,0.00,0.00
DARLINGTON - HARTSVILLE NO. 8,2780,106,2675,2384,298,0,6,0,0,85.76,10.72,3.81,0.00,0.22,0.00,0.00
DARLINGTON - HARTSVILLE NO. 9,2061,66,1995,1482,467,0,12,0,0,71.91,22.66,3.20,0.00,0.58,0.00,0.00
DARLINGTON - HIGH HILL,3662,19,3642,1960,1696,0,0,0,0,53.52,46.31,0.52,0.00,0.00,0.00,0.00
DARLINGTON - INDIAN BRANCH,946,32,921,583,319,0,0,0,0,61.63,33.72,3.38,0.00,0.00,0.00,0.00
DARLINGTON - KELLEYTOWN,1965,2,1960,1584,253,24,0,4,0,80.61,12.88,0.10,1.22,0.00,0.20,0.00
DARLINGTON - LAKE SWAMP,1519,0,1521,978,491,0,0,0,7,64.38,32.32,0.00,0.00,0.00,0.00,0.46
DARLINGTON - LAMAR NO. 1,750,4,750,282,399,0,0,0,0,37.60,53.20,0.53,0.00,0.00,0.00,0.00
DARLINGTON - LAMAR NO. 2,1459,8,1447,1049,374,0,0,0,0,71.90,25.63,0.55,0.00,0.00,0.00,0.00
DARLINGTON - LYDIA,631,0,632,167,446,0,16,0,0,26.47,70.68,0.00,0.00,2.54,0.00,0.00
DARLINGTON - MECHANICSVILLE,1556,9,1548,1015,495,0,26,0,0,65.23,31.81,0.58,0.00,1.67,0.00,0.00
DARLINGTON - NEW MARKET,1395,0,1399,1178,152,0,0,0,0,84.44,10.90,0.00,0.00,0.00,0.00,0.00
DARLINGTON - OATES,1169,0,1168,704,441,0,0,0,3,60.22,37.72,0.00,0.00,0.00,0.00,0.26
DARLINGTON - PALMETTO,2572,51,2523,995,1498,0,0,0,10,38.69,58.24,1.98,0.00,0.00,0.00,0.39
DARLINGTON - SOCIETY HILL,637,0,637,277,361,0,0,0,0,43.49,56.67,0.00,0.00,0.00,0.00,0.00
