year,contest_type,county,source_result_key,target_polygon_key,score,status,confidence,notes
2024,president,,Aiken - Shaws Fork,Aiken - Shaws Fork,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Aiken - Shiloh,Aiken - Shiloh,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_manual_next30b_applied
2024,president,,Aiken - Silver Bluff,Aiken - Silver Bluff,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Aiken - South Creek No. 89,Aiken - South Aiken No. 76,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Aiken - Tabernacle,Aiken - Tabernacle,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Aiken - Talatha,Aiken - Talatha,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_manual_next30b_applied
2024,president,,Aiken - Vaucluse,Aiken - Vaucluse,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_manual_hard_county_guard
2024,president,,Aiken - Aiken No. 3,Aiken - Wagener,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_manual_next30_applied
2024,president,,Aiken - Warrenville,Aiken - Wagener,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Aiken - White Pond,Aiken - White Pond,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Aiken - Willow Springs,Aiken - Willow Springs,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Allendale - Allendale #1,Allendale - Allendale No. 1,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Allendale - Allendale #2,Allendale - Allendale No. 2,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Allendale - Fairfax #1,Allendale - Fairfax No. 1,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Allendale - Fairfax #2,Allendale - Fairfax No. 2,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Anderson - Anderson 1/2,Anderson - Three And Twenty,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_manual_next30b_applied
2024,president,,Anderson - Five Forks,Anderson - Five Forks,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_manual_medium
2024,president,,Anderson - Anderson 5/B,Anderson - Anderson 62,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Anderson - Barker'S Creek-Mcadams,Anderson - Barkers Creek,1.0000,approved,medium,generated_from_legacy_alias_mapping
2024,president,,Anderson - Centerville Station A,Anderson - Centerville Station A,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Anderson - Centerville Station B,Anderson - Centerville Station B,1.0000,approved,medium,generated_from_legacy_alias_mapping; source_key_autofix_likely_safe
2024,president,,Anderson - Cox'S Creek,Anderson - Cox Creek,1.0000,approved,medium,generated_from_legacy_alias_mapping
